Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pearl-flower-stud-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110779.png?v=1767608887,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-snake-necklace,Crystal Snake Necklace,"<p>This stunning crystal snake necklace makes a bold, luxurious statement. The flexible mesh chain body wraps elegantly around your neck, while the intricately detailed snake head is adorned with sparkling pavé crystals and striking black crystal eyes. The crystal-covered tail completes the serpentine design with dazzling brilliance.</p><p>Perfect for making a statement at parties, galas, or adding dramatic flair to your evening wardrobe. The serpent design symbolizes transformation and power, making this more than just jewelry—it's a conversation piece. The adjustable design allows you to customize the fit and drape for maximum impact.</p><p>Designed with a flexible mesh chain that moves naturally with your body. The lightweight construction ensures comfortable wear despite the bold appearance, while the secure clasp keeps the necklace in place. The quality crystals maintain their sparkle and the rose gold finish stays beautiful wear after wear.</p><p>🎁 A show-stopping gift for the woman who loves bold, statement jewelry with luxurious edge.</p><h3>Features</h3><ul>
<li>Crystal-embellished snake design</li>
<li>Flexible mesh chain body</li>
<li>Pavé crystal head with black crystal eyes</li>
<li>Crystal-covered tail detail</li>
<li>Adjustable fit</li>
<li>Rose gold-tone finish</li>
<li>Perfect statement piece for special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"crystal jewelry, necklace, rose gold, snake necklace, statement jewelry",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,3999,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109084.png?v=1767608583,1,,FALSE,Crystal Snake Necklace - Bold Rose Gold Statement Necklace,"Stunning crystal snake necklace with flexible mesh chain, pavé head and crystal tail. Rose gold finish. Bold statement piece for parties & special occasions.",196,,adult,,,,,,,,,,,adults,,animal,,metal; rose-gold-plated,imitation-jewelry,,,,female,,kg,,,active
crystal-snake-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109083.png?v=1767608582,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffed-heart-pendant-necklace,Puffed Heart Pendant Necklace,"<p>This delicate necklace features a smooth, polished puffed heart pendant that sits beautifully at the collarbone. The dimensional heart design catches light from every angle, creating a subtle glow. The fine chain adds elegant simplicity, while the high-polish gold finish brings luxurious warmth to this timeless piece.</p><p>Perfect for everyday wear or layering with other necklaces. The classic heart symbol makes this an ideal gift for expressing love and affection to someone special. Pair with casual outfits for understated charm or wear with dressy looks for romantic elegance.</p><p>Designed with a delicate chain and secure lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its shine. The puffed heart pendant adds just the right amount of dimension without being too bold, creating a refined look that's both sweet and sophisticated.</p><p>🎁 A meaningful gift for the woman who loves delicate, romantic jewelry with timeless appeal.</p><h3>Features</h3><ul>
<li>Smooth polished puffed heart pendant</li>
<li>Delicate fine chain</li>
<li>Secure lobster clasp closure</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for layering or solo styling</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"delicate, gold-tone, heart necklace, necklace, romantic",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1099,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109144.png?v=1767608600,1,,FALSE,Puffed Heart Pendant Necklace - Delicate Gold Heart Necklace,"Delicate necklace with smooth polished puffed heart pendant. Fine gold-tone chain, lightweight design. Perfect for everyday wear & meaningful gifting.",196,,adult,,,,,,,,,,,adults,,gold,,metal; gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
puffed-heart-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109145.png?v=1767608600,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-swan-charm-bracelet,Crystal Swan Charm Bracelet,"<p>This delicate double-strand chain bracelet features a sparkling crystal swan charm centerpiece that adds graceful elegance. The fine chains are accented with tiny beads that create subtle texture and movement. The pavé crystal swan catches light beautifully, symbolizing beauty, grace, and transformation.</p><p>Perfect for everyday elegance or adding a touch of whimsy to special occasions. The swan charm makes this an ideal gift for ballet lovers, dreamers, or anyone who appreciates meaningful jewelry. The adjustable chain ensures a comfortable fit, while the delicate design pairs beautifully with any style.</p><p>Designed with dual fine chains, beaded accents, and an adjustable lobster clasp closure. The lightweight construction ensures all-day comfort, while the quality finish maintains its shine. The crystal swan adds beautiful sparkle and movement, creating a refined look that transitions beautifully from day to night.</p><p>🎁 A graceful gift for the woman who loves delicate, symbolic jewelry with elegant charm.</p><h3>Features</h3><ul>
<li>Double-strand chain with beaded accents</li>
<li>Sparkling crystal swan charm centerpiece</li>
<li>Adjustable lobster clasp closure</li>
<li>Polished silver-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for layering or solo styling</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"bracelet, charm bracelet, crystal jewelry, delicate, silver-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1399,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109023.png?v=1767608557,1,,FALSE,Crystal Swan Charm Bracelet - Delicate Silver Bracelet,"Delicate double-strand bracelet with sparkling crystal swan charm. Beaded accents, silver-tone finish, adjustable. Perfect meaningful gift for elegance.",191,,adult,,,,,,,,,,,adults,charm; beaded,silver,,metal,imitation-jewelry,,,,female,,kg,,,active
interlocking-circle-chain-bracelet,Interlocking Circle Chain Bracelet,"<p>This delicate double-strand chain bracelet features two interlocking circle charms that symbolize connection and unity. One circle is smooth and polished, while the other sparkles with pavé crystal detailing, creating a beautiful contrast. The fine silver chains add elegant simplicity to this meaningful design.</p><p>Perfect for everyday wear or layering with other bracelets. The interlocking circles represent eternal bonds, making this an ideal gift for best friends, sisters, or loved ones. The adjustable chain ensures a comfortable fit, while the delicate design pairs beautifully with any style.</p><p>Designed with dual fine chains and an adjustable lobster clasp closure. The lightweight construction ensures all-day comfort, while the quality finish maintains its shine. The smooth and crystal circles add subtle movement and sparkle, creating a refined look that transitions beautifully from day to night.</p><p>🎁 A meaningful gift for the woman who loves delicate, symbolic jewelry with timeless appeal.</p><h3>Features</h3><ul>
<li>Double-strand chain with interlocking circle charms</li>
<li>One smooth circle and one pavé crystal circle</li>
<li>Adjustable lobster clasp closure</li>
<li>Polished silver-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for layering or solo styling</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"bracelet, chain bracelet, crystal jewelry, delicate, silver-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1199,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109006.png?v=1767608510,1,,FALSE,Interlocking Circle Chain Bracelet - Delicate Silver Bracelet,"Delicate double-strand bracelet with interlocking circle charms. One smooth, one crystal pavé. Silver-tone finish, adjustable. Perfect meaningful gift.",191,,adult,,,,,,,,,,,adults,chain; beaded,silver,,metal,imitation-jewelry,,,,female,,kg,,,active
interlocking-circle-chain-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000109011.png?v=1767608510,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-teardrop-drop-earrings,Double Teardrop Drop Earrings,"<p>These elegant double teardrop drop earrings feature a smooth, polished design that exudes timeless sophistication. The smaller teardrop stud connects to a larger teardrop dangle, creating beautiful proportion and movement. The high-polish gold finish adds luxurious warmth and mirror-like shine to the classic silhouette.</p><p>Perfect for weddings, cocktail parties, or adding elegance to your everyday wardrobe. The double teardrop design offers a fresh take on classic drop earrings, making them versatile enough for both special occasions and daily wear. Pair with an updo to showcase the full drop effect or wear with loose waves for romantic sophistication.</p><p>Designed with secure post backing for comfortable wear. The lightweight construction ensures the earrings won't weigh down your ears despite their statement appearance. The smooth, polished finish reflects light beautifully, adding subtle glamour to your every gesture.</p><p>🎁 A timeless gift for the woman who loves classic drop earrings with elegant, refined style.</p><h3>Features</h3><ul>
<li>Double teardrop design with graduated sizing</li>
<li>Smooth polished finish</li>
<li>Secure post backing</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for extended wear</li>
<li>Perfect for weddings, parties &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"drop earrings, earrings, elegant, gold-tone, teardrop",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1299,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110805.png?v=1767608265,1,,FALSE,Double Teardrop Drop Earrings - Elegant Gold Statement Earrings,"Elegant double teardrop drop earrings with polished gold-tone finish. Lightweight, secure post backing. Perfect for weddings & special occasions. Shop now.",194,,adult,,,,,,,,,,,adults,,gold,drop,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
double-teardrop-drop-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110804.png?v=1767608263,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twisted-rope-hoop-earrings,Twisted Rope Hoop Earrings,"<p>These elegant twisted rope hoop earrings feature a sculptural braided design that creates beautiful dimension and texture. The fluid, intertwined strands catch light from every angle, adding dynamic visual interest. The high-polish gold finish brings luxurious warmth to this sophisticated design.</p><p>Perfect for everyday elegance or special occasions. The twisted rope design offers a fresh take on classic hoops, making them versatile enough for both casual and dressy looks. Pair with a sleek ponytail to showcase the sculptural detail, or wear with loose waves for effortless sophistication.</p><p>Designed with a secure hinged clasp for easy wear and comfortable fit. The lightweight construction ensures all-day wearability without weighing down your ears. The smooth finish sits gently against skin, while the braided silhouette adds timeless elegance and movement.</p><p>🎁 A classic gift for the woman who loves elegant hoops with sculptural, textured detailing.</p><h3>Features</h3><ul>
<li>Twisted rope braided design</li>
<li>Sculptural intertwined strands</li>
<li>Secure hinged clasp closure</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Versatile for casual &amp; dressy occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"earrings, elegant, gold-tone, hoop earrings, twisted",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1299,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110810_338ce996-f1ba-4e44-a457-b01242a84d42.png?v=1767608239,1,,FALSE,Twisted Rope Hoop Earrings - Elegant Gold Braided Hoops,"Elegant twisted rope hoop earrings with sculptural braided design. Polished gold-tone finish, hinged clasp. Lightweight & perfect for everyday wear.",194,,adult,,,,,,,,,,,adults,,gold,hoop,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
twisted-rope-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110809.png?v=1767608238,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanical-petal-drop-earrings,Botanical Petal Drop Earrings,"<p>These stunning botanical drop earrings feature cascading petal-shaped elements that create a flowing vine design. Each sculpted petal is beautifully detailed with organic curves that catch light from every angle. The high-polish gold finish adds luxurious warmth to this nature-inspired statement piece.</p><p>Perfect for weddings, garden parties, or adding romantic elegance to your everyday wardrobe. The cascading design creates beautiful movement and drama without feeling heavy. Pair with an updo to showcase the full flowing effect, or wear with loose waves for bohemian sophistication.</p><p>Designed with secure post backing for comfortable wear. The lightweight construction ensures the earrings won't weigh down your ears despite their statement appearance. Each petal is carefully crafted to create a cohesive, flowing silhouette that adds instant elegance.</p><p>🎁 A beautiful gift for the woman who loves nature-inspired jewelry with romantic, flowing design.</p><h3>Features</h3><ul>
<li>Cascading petal vine design</li>
<li>Sculptural botanical elements</li>
<li>Secure post backing</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight despite statement appearance</li>
<li>Perfect for weddings, parties &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"botanical, drop earrings, earrings, gold-tone, statement jewelry",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1699,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110813.png?v=1767608220,1,,FALSE,Botanical Petal Drop Earrings - Elegant Gold Vine Earrings,"Stunning botanical drop earrings with cascading petal vine design. Polished gold-tone finish, lightweight & perfect for weddings & special occasions.",194,,adult,,,,,,,,,,,adults,,floral,drop; dangle,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
botanical-petal-drop-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110812.png?v=1767608219,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twisted-x-stud-earrings,Twisted X Stud Earrings,"<p>These chic twisted X-shaped stud earrings feature smooth, sculptural curves that create a modern, dimensional look. The fluid design catches light beautifully from every angle, adding subtle sophistication to the classic stud silhouette. The high-polish gold finish brings luxurious warmth to this contemporary design.</p><p>Perfect for everyday elegance or adding a polished touch to special occasions. The compact size makes them versatile enough for both office wear and evening events, while the unique X-shape adds personality. Pair with any hairstyle for effortless style that transitions seamlessly from day to night.</p><p>Designed with secure post backing for comfortable all-day wear. The lightweight construction ensures they won't weigh down your ears, while the smooth finish sits gently against your lobe. The quality craftsmanship maintains its shine and shape wear after wear.</p><p>🎁 A modern gift for the woman who loves minimalist studs with sculptural, contemporary style.</p><h3>Features</h3><ul>
<li>Twisted X-shaped sculptural design</li>
<li>Smooth, dimensional curves</li>
<li>Secure post backing</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Versatile for casual &amp; dressy occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"earrings, gold-tone, minimalist, modern, stud earrings",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,899,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000108765.png?v=1767608193,1,,FALSE,Twisted X Stud Earrings - Modern Gold Sculptural Studs,"Chic twisted X-shaped stud earrings with sculptural design. Polished gold-tone finish, secure post backing. Lightweight & perfect for everyday wear.",194,,adult,,,,,,,,,,,adults,,gold,stud,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
twisted-x-stud-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000108763.png?v=1767608192,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pearl-textured-ring-drop-earrings,Pearl & Textured Ring Drop Earrings,"<p>These stunning statement drop earrings feature a polished rectangular stud top paired with a textured triple-ring connector and a luminous white teardrop stone. The layered rings add beautiful dimension and movement, while the smooth pearl-like stone brings elegant sophistication. The high-polish gold finish adds luxurious warmth to this modern design.</p><p>Perfect for weddings, cocktail parties, or elevating your everyday wardrobe. The architectural design offers a fresh take on classic drop earrings, making them ideal for both special occasions and daily wear. Pair with an updo to showcase the full drop effect or wear with loose waves for romantic elegance.</p><p>Designed with secure post backing for comfortable wear. The lightweight construction ensures the earrings won't weigh down your ears despite their statement appearance. The smooth stone and polished finish create a refined look that transitions beautifully from day to night.</p><p>🎁 A sophisticated gift for the woman who loves statement earrings with architectural, modern style.</p><h3>Features</h3><ul>
<li>Rectangular stud with textured triple-ring connector</li>
<li>Luminous white teardrop stone dangle</li>
<li>Secure post backing</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for extended wear</li>
<li>Perfect for weddings, parties &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"drop earrings, earrings, gold-tone, pearl earrings, statement jewelry",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1699,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110816.png?v=1767608164,1,,FALSE,Pearl & Textured Ring Drop Earrings - Statement Gold Earrings,"Stunning drop earrings with rectangular stud, textured triple-ring connector and white teardrop stone. Gold-tone finish. Perfect for weddings & parties.",194,,adult,,,,,,,,,,,adults,,geometric,drop,metal; synthetic,imitation-jewelry,,,,female,,kg,,,active
pearl-textured-ring-drop-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110815.png?v=1767608164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaded-textured-hoop-earrings,Beaded Textured Hoop Earrings,"<p>These delicate textured hoop earrings feature beaded detailing along the outer edge that creates subtle dimension and elegance. The intricate beaded pattern catches light beautifully, adding refined sparkle to the classic hoop silhouette. The high-polish gold finish brings luxurious warmth to this timeless design.</p><p>Perfect for everyday elegance or special occasions. The delicate size makes them versatile enough for both office wear and evening events, adding just the right amount of sophistication. Pair with a sleek ponytail for polished style or wear with loose waves for effortless charm.</p><p>Designed with a secure hinged clasp for easy wear and comfortable fit. The lightweight construction ensures all-day wearability without weighing down your ears. The smooth finish sits gently against skin, while the beaded texture adds visual interest and timeless appeal.</p><p>🎁 A classic gift for the woman who loves delicate hoops with refined, textured detailing.</p><h3>Features</h3><ul>
<li>Delicate hoop design with beaded edge detailing</li>
<li>Textured pattern for subtle dimension</li>
<li>Secure hinged clasp closure</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Versatile for casual &amp; dressy occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"classic, earrings, gold-tone, hoop earrings, textured",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,999,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110819.png?v=1767607917,1,,FALSE,Beaded Textured Hoop Earrings - Delicate Gold Classic Hoops,"Delicate textured hoop earrings with beaded edge detailing. Polished gold-tone finish, hinged clasp. Lightweight & perfect for everyday elegance.",194,,adult,,,,,,,,,,,adults,,gold,hoop,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
beaded-textured-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110818.png?v=1767607915,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pear-crystal-chevron-ring-set,Pear Crystal Chevron Ring Set,"<p>This stunning bridal ring set features a brilliant pear-shaped crystal surrounded by a sparkling pavé halo, paired with two matching chevron-shaped bands. The elegant V-shaped bands are adorned with continuous pavé crystals that create beautiful symmetry and sparkle. A sophisticated set that exudes timeless romance and modern elegance.</p><p>Perfect for engagements, weddings, or as a statement ring for special occasions. The three-piece design creates a cohesive, luxurious look that's ready to wear. The chevron bands beautifully frame the pear-shaped centerpiece, adding dimension and drama to your ring stack.</p><p>Designed with quality construction for comfortable everyday wear. The smooth interior sits gently against your finger, while the secure settings keep all crystals in place. Lightweight despite its statement appearance, this set is perfect for wearing daily or saving for special celebrations.</p><p>🎁 A breathtaking gift for brides-to-be, anniversaries, or the woman who loves elegant bridal jewelry.</p><h3>Features</h3><ul>
<li>Pear-shaped crystal with pavé halo</li>
<li>Two matching chevron-shaped crystal bands</li>
<li>Three-piece stackable ring set</li>
<li>Polished silver-tone finish</li>
<li>Comfortable for everyday wear</li>
<li>Perfect for engagements, weddings &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Rings,Rings,"bridal jewelry, crystal jewelry, ring, ring set, silver-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,2999,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000108757.png?v=1767607894,1,,FALSE,Pear Crystal Chevron Ring Set - 3 Piece Bridal Wedding Ring,"Stunning 3-piece bridal ring set with pear crystal halo and chevron pavé bands. Silver-tone finish, stackable design. Perfect for engagements & weddings.",200,,adult,,,,,,,,,,,adults,,silver,,metal,imitation-jewelry,,band,6,female,,kg,,,active
pear-crystal-chevron-ring-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000108756.png?v=1767607892,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engraved-scrollwork-hoop-earrings,Engraved Scrollwork Hoop Earrings,"<p>These elegant engraved hoop earrings feature intricate scrollwork and floral patterns that showcase timeless artistry. The delicate etching creates beautiful texture and dimension, catching light with every movement. The polished gold finish adds luxurious warmth to the vintage-inspired design.</p><p>Perfect for everyday elegance or special occasions. The classic hoop silhouette with ornate detailing offers a sophisticated alternative to plain hoops, making them ideal for both casual and dressy looks. Pair with an updo to showcase the intricate patterns or wear with loose waves for romantic charm.</p><p>Designed with a secure hinged clasp for easy wear and comfortable fit. The lightweight construction ensures all-day comfort without weighing down your ears. The quality engraving maintains its detail and the finish stays beautiful wear after wear.</p><p>🎁 A timeless gift for the woman who loves classic jewelry with intricate, vintage-inspired detailing.</p><h3>Features</h3><ul>
<li>Intricate scrollwork and floral engraving</li>
<li>Classic hoop silhouette</li>
<li>Secure hinged clasp closure</li>
<li>Polished gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Versatile for casual &amp; dressy occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Earrings,Earrings,"earrings, engraved, gold-tone, hoop earrings, vintage-inspired",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1299,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110821.png?v=1767607870,1,,FALSE,Engraved Scrollwork Hoop Earrings - Vintage Gold Hoops,"Elegant engraved hoop earrings with intricate scrollwork patterns. Polished gold-tone finish, hinged clasp. Timeless vintage-inspired design. Shop now.",194,,adult,,,,,,,,,,,adults,,floral,hoop,metal; gold-plated,imitation-jewelry,,,,female,,kg,,,active
engraved-scrollwork-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110822.png?v=1767607871,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-heart-charm-bracelet,Purple Heart Charm Bracelet,"<p>This charming bracelet features a twisted cable band adorned with sparkling purple crystal beads and smooth lavender accents. The playful heart charms include a checkered enamel heart and a crystal-embellished lock heart, creating a sweet, romantic aesthetic. Decorative silver spacers add detail and dimension to this delightful piece.</p><p>Perfect for everyday wear or gifting to someone special. The adjustable cable design makes it easy to slip on and off, ensuring a comfortable fit for most wrist sizes. Ideal for young women, teens, or anyone who loves charm bracelets with personality and meaning.</p><p>Designed with a flexible twisted cable band and ball-end closure. The lightweight construction ensures comfortable all-day wear, while the quality charms and crystal beads add sparkle and movement. The silver finish complements the purple tones beautifully, creating a fresh, youthful look.</p><p>🎁 A sweet gift for daughters, best friends, or anyone who loves charming jewelry with heart.</p><h3>Features</h3><ul>
<li>Twisted cable band with purple crystal beads</li>
<li>Checkered enamel heart and crystal lock heart charms</li>
<li>Smooth lavender accent beads</li>
<li>Decorative silver spacers</li>
<li>Adjustable ball-end closure</li>
<li>Perfect for casual wear &amp; gifting</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"bracelet, charm bracelet, heart jewelry, purple, silver-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1599,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000108754.png?v=1767608395,1,,FALSE,Purple Heart Charm Bracelet - Silver Cable Bracelet with Charms,Charming cable bracelet with purple crystal beads and heart charms. Features checkered enamel heart & crystal lock. Adjustable silver-tone design.,191,,,,,,,,,,,,,teens; adults,charm,checkered,,metal; glass,imitation-jewelry,,,,female,,kg,,,active
purple-heart-charm-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000108747.png?v=1767608395,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
